epoch 053/60 | loss 0.5790 | train_acc 79.57% | test_acc 76.06%
epoch 054/60 | loss 0.5666 | train_acc 79.80% | test_acc 75.95%
epoch 055/60 | loss 0.5629 | train_acc 79.82% | test_acc 76.58%
epoch 056/60 | loss 0.5550 | train_acc 80.25% | test_acc 76.88%
epoch 057/60 | loss 0.5478 | train_acc 80.43% | test_acc 76.77%
epoch 058/60 | loss 0.5424 | train_acc 80.47% | test_acc 76.83%
epoch 059/60 | loss 0.5384 | train_acc 80.79% | test_acc 76.78%
epoch 060/60 | loss 0.5337 | train_acc 80.92% | test_acc 76.93%

================================================================
run 70/81 | lr=0.001 wd=0.07 bs=512 drop_path_rate=0.0
================================================================
epoch 001/60 | loss 2.0653 | train_acc 23.04% | test_acc 26.23%
epoch 002/60 | loss 1.8404 | train_acc 31.59% | test_acc 38.19%
epoch 003/60 | loss 1.5836 | train_acc 41.63% | test_acc 45.10%
epoch 004/60 | loss 1.4287 | train_acc 48.04% | test_acc 50.08%
epoch 005/60 | loss 1.3046 | train_acc 52.56% | test_acc 53.30%
epoch 006/60 | loss 1.2744 | train_acc 53.75% | test_acc 57.84%
epoch 007/60 | loss 1.2147 | train_acc 56.17% | test_acc 57.35%
epoch 008/60 | loss 1.1828 | train_acc 57.21% | test_acc 58.38%
epoch 009/60 | loss 1.1641 | train_acc 58.06% | test_acc 59.12%
epoch 010/60 | loss 1.1335 | train_acc 59.42% | test_acc 60.07%
epoch 011/60 | loss 1.1192 | train_acc 59.75% | test_acc 61.33%
epoch 012/60 | loss 1.0985 | train_acc 60.61% | test_acc 62.55%
epoch 013/60 | loss 1.0902 | train_acc 60.85% | test_acc 62.95%
epoch 014/60 | loss 1.0593 | train_acc 61.92% | test_acc 64.04%
epoch 015/60 | loss 1.0434 | train_acc 62.70% | test_acc 63.05%
epoch 016/60 | loss 1.0267 | train_acc 63.13% | test_acc 65.02%
epoch 017/60 | loss 0.9919 | train_acc 64.60% | test_acc 64.38%
epoch 018/60 | loss 0.9675 | train_acc 65.30% | test_acc 67.22%
epoch 019/60 | loss 0.9436 | train_acc 66.43% | test_acc 67.01%
epoch 020/60 | loss 0.9188 | train_acc 67.26% | test_acc 66.58%
epoch 021/60 | loss 0.8902 | train_acc 68.51% | test_acc 68.14%
epoch 022/60 | loss 0.8835 | train_acc 68.46% | test_acc 68.90%
epoch 023/60 | loss 0.8567 | train_acc 69.55% | test_acc 70.28%
epoch 024/60 | loss 0.8343 | train_acc 70.45% | test_acc 70.10%
epoch 025/60 | loss 0.8126 | train_acc 71.15% | test_acc 70.59%
epoch 026/60 | loss 0.8021 | train_acc 71.40% | test_acc 71.49%
epoch 027/60 | loss 0.7801 | train_acc 71.95% | test_acc 71.55%
epoch 028/60 | loss 0.7538 | train_acc 72.91% | test_acc 72.35%
epoch 029/60 | loss 0.7317 | train_acc 73.97% | test_acc 73.25%
epoch 030/60 | loss 0.7052 | train_acc 74.82% | test_acc 73.58%
epoch 031/60 | loss 0.6806 | train_acc 75.71% | test_acc 74.79%
epoch 032/60 | loss 0.6545 | train_acc 76.83% | test_acc 75.02%
epoch 033/60 | loss 0.6364 | train_acc 77.29% | test_acc 76.15%
epoch 034/60 | loss 0.6128 | train_acc 78.32% | test_acc 76.11%
epoch 035/60 | loss 0.5943 | train_acc 78.73% | test_acc 77.13%
epoch 036/60 | loss 0.5728 | train_acc 79.54% | test_acc 77.38%
epoch 037/60 | loss 0.5505 | train_acc 80.41% | test_acc 77.82%
epoch 038/60 | loss 0.5324 | train_acc 80.97% | test_acc 77.34%
epoch 039/60 | loss 0.5070 | train_acc 81.96% | test_acc 78.62%
epoch 040/60 | loss 0.4930 | train_acc 82.47% | test_acc 78.78%
epoch 041/60 | loss 0.4709 | train_acc 83.47% | test_acc 79.16%
epoch 042/60 | loss 0.4502 | train_acc 83.98% | test_acc 79.65%
epoch 043/60 | loss 0.4267 | train_acc 84.79% | test_acc 79.71%
